year,type,discipline,event,as,athlete_id,noc,medal
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",André Laperrière,89424,CAN,Gold
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Igor Larionov,89430,URS,Gold
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Igor Larionov,89430,URS,Gold
2018,Winter,Figure Skating (Skating),"Team, Mixed",Meagan Duhamel,127477,CAN,Gold
1994,Winter,Freestyle Skiing (Skiing),"Aerials, Men",Philippe LaRoche,89433,CAN,Silver
1924,Winter,Speed Skating (Skating),"500 metres, Men",Roald Larsen,89436,NOR,Bronze
1924,Winter,Speed Skating (Skating),"1,500 metres, Men",Roald Larsen,89436,NOR,Silver
1924,Winter,Speed Skating (Skating),"5,000 metres, Men",Roald Larsen,89436,NOR,Bronze
1924,Winter,Speed Skating (Skating),"10,000 metres, Men",Roald Larsen,89436,NOR,Bronze
1924,Winter,Speed Skating (Skating),"Allround, Men",Roald Larsen,89436,NOR,Silver
1928,Winter,Speed Skating (Skating),"500 metres, Men",Roald Larsen,89436,NOR,Bronze
1936,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men",Erik Larsson,89438,SWE,Gold
1936,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Erik Larsson,89438,SWE,Bronze
1928,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Erik Larsson,89439,SWE,Silver
1968,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men",Gunnar Larsson,89440,SWE,Bronze
1968,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Gunnar Larsson,89440,SWE,Silver
1956,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Lennart Larsson,89442,SWE,Bronze
1956,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Per-Erik Larsson,89444,SWE,Bronze
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ken Laufman,89456,CAN,Bronze
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ken Laufman,89456,CAN,Silver
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Janne Laukkanen,89457,FIN,Bronze
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Janne Laukkanen,89457,FIN,Bronze
1948,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Teuvo Laukkanen,89459,FIN,Silver
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Lionel Laurent,89461,FRA,Bronze
1964,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Kalevi Laurila,89463,FIN,Silver
1968,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Kalevi Laurila,89463,FIN,Bronze
1936,Winter,Bobsleigh (Bobsleigh),"Two, Men",Dick Lawrence,89472,USA,Bronze
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Johnny Lax,89473,USA,Bronze
1998,Winter,Bobsleigh (Bobsleigh),"Four, Men",Éric Le Chanony,89480,FRA,Bronze
1980,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Ivan Lebanov,89484,BUL,Bronze
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Patrick Lebeau,89485,CAN,Silver
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Yury Lebedev,89486,URS,Silver
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Louis Lecompte,89495,CAN,Gold
1992,Winter,Short Track Speed Skating (Skating),"1,000 metres, Men",Lee Jun-Ho,89504,KOR,Bronze
1992,Winter,Short Track Speed Skating (Skating),"5,000 metres Relay, Men",Lee Jun-Ho,89504,KOR,Gold
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Howie Lee,89509,CAN,Bronze
2018,Winter,Figure Skating (Skating),"Team, Mixed",Kaetlyn Osmond,127480,CAN,Gold
1976,Winter,Bobsleigh (Bobsleigh),"Four, Men",Bernhard Lehmann,89525,GDR,Gold
1984,Winter,Bobsleigh (Bobsleigh),"Two, Men",Bernhard Lehmann,89525,GDR,Silver
1984,Winter,Bobsleigh (Bobsleigh),"Four, Men",Bernhard Lehmann,89525,GDR,Silver
1988,Winter,Bobsleigh (Bobsleigh),"Two, Men",Bernhard Lehmann,89525,GDR,Bronze
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Tero Lehterä,89528,FIN,Bronze
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jere Lehtinen,89529,FIN,Bronze
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jere Lehtinen,89529,FIN,Bronze
2018,Winter,Figure Skating (Skating),"Team, Mixed",Eric Radford,127487,CAN,Gold
2018,Winter,Figure Skating (Skating),"Team, Mixed",Maia Shibutani,128721,USA,Bronze
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Erkki Lehtonen,89534,FIN,Silver
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Walter Leinweber,89540,GER,Bronze
1960,Winter,Alpine Skiing (Skiing),"Slalom, Men",Hias Leitner,89544,AUT,Silver
1960,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Otto Leodolter,89562,AUT,Bronze
1960,Winter,Biathlon,"20 kilometres, Men",Klas Lestander,89583,SWE,Gold
1972,Winter,Bobsleigh (Bobsleigh),"Four, Men",Hans Leutenegger,89591,SUI,Gold
1988,Winter,Nordic Combined (Skiing),"Individual, Men",Allar Levandi,89594,URS,Bronze
1998,Winter,Short Track Speed Skating (Skating),"1,000 metres, Men",Li Jiajun,89605,CHN,Silver
1998,Winter,Short Track Speed Skating (Skating),"5,000 metres Relay, Men",Li Jiajun,89605,CHN,Bronze
2018,Winter,Figure Skating (Skating),"Team, Mixed",Alex Shibutani,128726,USA,Bronze
2018,Winter,Figure Skating (Skating),"Team, Mixed",Yevgeniya Medvedeva,137824,ROC,Silver
2018,Winter,Figure Skating (Skating),"Team, Mixed",Yevgeniya Tarasova,137826,ROC,Silver
1948,Winter,Speed Skating (Skating),"5,000 metres, Men",Reidar Liaklev,89613,NOR,Gold
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Igor Liba,89615,TCH,Silver
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Igor Liba,89615,TCH,Bronze
1932,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men",Väinö Liikkanen,89631,FIN,Silver
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Chris Lindberg,89644,CAN,Silver
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Pelle Lindbergh,89648,SWE,Bronze
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Göran Lindblom,89649,SWE,Bronze
1928,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bertil Linde,89651,SWE,Silver
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Peter Lindmark,89659,SWE,Bronze
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vic Lindquist,89661,CAN,Gold
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Eric Lindros,89668,CAN,Silver
2018,Winter,Figure Skating (Skating),"Team, Mixed",Nataliya Zabiyako,137827,ROC,Silver
1984,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Odd Lirhus,89681,NOR,Silver
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bob Livingston,89692,USA,Silver
2018,Winter,Figure Skating (Skating),"Team, Mixed",Alina Zagitova,137828,ROC,Silver
2018,Winter,Figure Skating (Skating),"Team, Mixed",Aleksandr Enbert,137831,ROC,Silver
1980,Winter,Speed Skating (Skating),"1,000 metres, Men",Vladimir Lobanov,89700,URS,Bronze
1992,Winter,Alpine Skiing (Skiing),"Combined, Men",Steve Locher,91880,SUI,Bronze
1992,Winter,Bobsleigh (Bobsleigh),"Two, Men",Rudi Lochner,91881,GER,Silver
2018,Winter,Figure Skating (Skating),"Team, Mixed",Mikhail Kolyada,137833,ROC,Silver
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jim Logan,91885,CAN,Bronze
1932,Winter,Speed Skating (Skating),"1,500 metres, Men",Willy Logan,91886,CAN,Bronze
1932,Winter,Speed Skating (Skating),"5,000 metres, Men",Willy Logan,91886,CAN,Bronze
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Heini Lohrer,91888,SUI,Bronze
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Werner Lohrer,91889,SUI,Bronze
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Konstantin Loktev,91893,URS,Bronze
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Konstantin Loktev,91893,URS,Gold
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Andrey Lomakin,91894,URS,Gold
1952,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men",Paavo Lonkila,91902,FIN,Bronze
1952,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Paavo Lonkila,91902,FIN,Gold
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Håkan Loob,91903,SWE,Gold
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ken Lovsin,91919,CAN,Silver
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ladislav Lubina,91922,TCH,Bronze
1994,Winter,Biathlon,"20 kilometres, Men",Frank Luck,91927,GER,Silver
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Frank Luck,91927,GER,Gold
1998,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Frank Luck,91927,GER,Gold
2018,Winter,Figure Skating (Skating),"Team, Mixed",Vladimir Morozov,137834,ROC,Silver
2018,Winter,Figure Skating (Skating),"Team, Mixed",Alexa Scimeca Knierim,138303,USA,Bronze
1972,Winter,Nordic Combined (Skiing),"Individual, Men",Karl-Heinz Luck,91928,GDR,Bronze
1960,Winter,Figure Skating (Skating),"Pairs, Mixed",Ron Ludington,91930,USA,Bronze
1932,Winter,Bobsleigh (Bobsleigh),"Four, Men",Max Ludwig,91933,GER,Bronze
1998,Winter,Bobsleigh (Bobsleigh),"Two, Men",Pierre Lueders,91934,CAN,Gold
2018,Winter,Figure Skating (Skating),"Team, Mixed",Bradie Tennell,138304,USA,Bronze
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vincent Lukáč,91939,TCH,Silver
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jyrki Lumme,91946,FIN,Silver
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jyrki Lumme,91946,FIN,Bronze
1992,Winter,Nordic Combined (Skiing),"Team, Men",Fred Børre Lundberg,91950,NOR,Silver
1994,Winter,Nordic Combined (Skiing),"Team, Men",Fred Børre Lundberg,91950,NOR,Silver
1994,Winter,Nordic Combined (Skiing),"Individual, Men",Fred Børre Lundberg,91950,NOR,Gold
1998,Winter,Nordic Combined (Skiing),"Team, Men",Fred Børre Lundberg,91950,NOR,Gold
1948,Winter,Speed Skating (Skating),"1,500 metres, Men",Odd Lundberg,91951,NOR,Bronze
1948,Winter,Speed Skating (Skating),"5,000 metres, Men",Odd Lundberg,91951,NOR,Silver
1972,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men",Sven-Åke Lundbäck,91953,SWE,Gold
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bengt Lundholm,91965,SWE,Bronze
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Per Lundqvist,91968,SWE,Bronze
1948,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men",Martin Lundström,91969,SWE,Gold
1948,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Lundström,91969,SWE,Gold
1952,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Lundström,91969,SWE,Bronze
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Lars-Eric Lundvall,91971,SWE,Silver
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimir Lutchenko,91978,URS,Gold
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimir Lutchenko,91978,URS,Gold
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Yury Lyapkin,91981,URS,Gold
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Harald Lückner,91982,SWE,Bronze
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",John Lyons,91990,USA,Silver
1980,Winter,Alpine Skiing (Skiing),"Slalom, Men",Jacques Lüthy,91995,SUI,Bronze
1936,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Matti Lähde,92000,FIN,Gold
1992,Winter,Biathlon,"20 kilometres, Men",Mikael Löfgren,92003,SWE,Bronze
1992,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Mikael Löfgren,92003,SWE,Bronze
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",William Löfqvist,92004,SWE,Bronze
1992,Winter,Ski Jumping (Skiing),"Large Hill, Team, Men",Risto Laakkonen,92012,FIN,Gold
1998,Winter,Bobsleigh (Bobsleigh),"Two, Men",Dave MacEachern,92016,CAN,Gold
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Oldřich Macháč,92017,TCH,Silver
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Oldřich Macháč,92017,TCH,Bronze
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Oldřich Macháč,92017,TCH,Silver
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Barry MacKenzie,92028,CAN,Bronze
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bill MacMillan,92033,CAN,Bronze
1992,Winter,Alpine Skiing (Skiing),"Downhill, Men",Günther Mader,92037,AUT,Bronze
1952,Winter,Bobsleigh (Bobsleigh),"Four, Men",Albert Madörin,92040,SUI,Bronze
2018,Winter,Figure Skating (Skating),"Team, Mixed",Nathan Chen,138305,USA,Bronze
1980,Winter,Alpine Skiing (Skiing),"Slalom, Men",Phil Mahre,92052,USA,Silver
1984,Winter,Alpine Skiing (Skiing),"Slalom, Men",Phil Mahre,92052,USA,Gold
1984,Winter,Alpine Skiing (Skiing),"Slalom, Men",Steve Mahre,92053,USA,Silver
1964,Winter,Speed Skating (Skating),"5,000 metres, Men",Fred Anton Maier,92057,NOR,Bronze
1964,Winter,Speed Skating (Skating),"10,000 metres, Men",Fred Anton Maier,92057,NOR,Silver
1968,Winter,Speed Skating (Skating),"5,000 metres, Men",Fred Anton Maier,92057,NOR,Gold
1968,Winter,Speed Skating (Skating),"10,000 metres, Men",Fred Anton Maier,92057,NOR,Silver
1964,Winter,Luge,"Doubles, Open",Sigisfredo Mair,92064,ITA,Bronze
1992,Winter,Cross Country Skiing (Skiing),"10 kilometres, Men",Christer Majbäck,92065,SWE,Bronze
1984,Winter,Figure Skating (Skating),"Pairs, Mixed",Oleg Makarov,92070,URS,Bronze
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Sergey Makarov,92071,URS,Silver
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Sergey Makarov,92071,URS,Gold
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Sergey Makarov,92071,URS,Gold
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimir Malakhov,92079,EUN,Gold
2018,Winter,Figure Skating (Skating),"Team, Mixed",Chris Knierim,138307,USA,Bronze
1988,Winter,Ski Jumping (Skiing),"Normal Hill, Individual, Men",Jiří Malec,92081,TCH,Bronze
1984,Winter,Speed Skating (Skating),"5,000 metres, Men",Igor Malkov,92090,URS,Silver
1984,Winter,Speed Skating (Skating),"10,000 metres, Men",Igor Malkov,92090,URS,Gold
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Norm Malloy,92092,CAN,Gold
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Aleksandr Maltsev,92096,URS,Gold
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Aleksandr Maltsev,92096,URS,Gold
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Aleksandr Maltsev,92096,URS,Silver
1968,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Viktor Mamatov,92101,URS,Gold
1972,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Viktor Mamatov,92101,URS,Gold
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Kent Manderville,92103,CAN,Silver
1924,Winter,Military Ski Patrol (Skiing),"Military Ski Patrol, Men",Maurice Mandrillon,92104,FRA,Bronze
1992,Winter,Luge,"Doubles, Open",Yves Mankel,92109,GER,Silver
1998,Winter,Nordic Combined (Skiing),"Team, Men",Hannu Manninen,92112,FIN,Silver
2018,Winter,Figure Skating (Skating),"Team, Mixed",Adam Rippon,138308,USA,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed",Yevgeny Plyushchenko,101967,RUS,Gold
1948,Winter,Bobsleigh (Bobsleigh),"Four, Men",Freddy Mansveld,92117,BEL,Silver
1998,Winter,Nordic Combined (Skiing),"Team, Men",Jari Mantila,92119,FIN,Silver
2014,Winter,Figure Skating (Skating),"Team, Mixed",Tatyana Volosozhar,109755,RUS,Gold
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",George Mara,92124,CAN,Gold
1928,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Arnold Martignoni,92164,SUI,Bronze
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Butch Martin,92167,CAN,Bronze
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Butch Martin,92167,CAN,Silver
1992,Winter,Alpine Skiing (Skiing),"Combined, Men",Gianfranco Martin,92168,ITA,Silver
1948,Winter,Bobsleigh (Bobsleigh),"Four, Men",Pat Martin,92174,USA,Gold
1952,Winter,Bobsleigh (Bobsleigh),"Two, Men",Pat Martin,92174,USA,Silver
1952,Winter,Bobsleigh (Bobsleigh),"Four, Men",Pat Martin,92174,USA,Silver
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimír Martinec,92182,TCH,Bronze
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimír Martinec,92182,TCH,Silver
1968,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Odd Martinsen,92187,NOR,Silver
1968,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Odd Martinsen,92187,NOR,Gold
1976,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Odd Martinsen,92187,NOR,Silver
1976,Winter,Bobsleigh (Bobsleigh),"Four, Men",Ruedi Marti,92193,SUI,Silver
1980,Winter,Bobsleigh (Bobsleigh),"Four, Men",Ruedi Marti,92193,SUI,Silver
1928,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men",Geoffrey Mason,95211,USA,Gold
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Karel Masopust,95214,TCH,Silver
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Johnny Matchefts,95222,USA,Silver
1936,Winter,Speed Skating (Skating),"1,500 metres, Men",Charles Mathiesen,95227,NOR,Gold
1936,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Martin Matsbo,95234,SWE,Bronze
1968,Winter,Alpine Skiing (Skiing),"Slalom, Men",Alfred Matt,95244,AUT,Bronze
1924,Winter,Military Ski Patrol (Skiing),"Military Ski Patrol, Men",Ville Mattila,95248,FIN,Silver
1972,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Werner Mattle,95252,SUI,Bronze
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",John Mayasich,95268,USA,Silver
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",John Mayasich,95268,USA,Gold
1994,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Christian Mayer,95269,AUT,Bronze
1998,Winter,Alpine Skiing (Skiing),"Combined, Men",Christian Mayer,95269,AUT,Bronze
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Derek Mayer,95270,CAN,Silver
1988,Winter,Alpine Skiing (Skiing),"Super G, Men",Helmut Mayer,95273,AUT,Silver
1998,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Viktor Maygurov,95275,RUS,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed","Charlie White, Jr.",119064,USA,Bronze
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Boris Mayorov,95278,URS,Gold
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Boris Mayorov,95278,URS,Gold
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Yevgeny Mayorov,95279,URS,Gold
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bert McCaffrey,95286,CAN,Gold
1988,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Rob McCall,95287,CAN,Bronze
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jack McCartan,95288,USA,Gold
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Justin McCarthy,95289,USA,Silver
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Rob McClanahan,95291,USA,Gold
1952,Winter,Speed Skating (Skating),"500 metres, Men",Don McDermott,95298,USA,Silver
1964,Winter,Speed Skating (Skating),"500 metres, Men",Terry McDermott,95299,USA,Gold
1968,Winter,Speed Skating (Skating),"500 metres, Men",Terry McDermott,95299,USA,Silver
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jim McElmury,95306,USA,Silver
1936,Winter,Bobsleigh (Bobsleigh),"Four, Men",Freddie McEvoy,95307,GBR,Bronze
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dick McGlynn,95310,USA,Silver
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jack McKenzie,95320,CAN,Bronze
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dan McKinnon,95323,USA,Silver
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bob McKnight,95324,CAN,Silver
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Harold McMunn,95330,CAN,Gold
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bob McVey,95336,USA,Gold
1988,Winter,Biathlon,"10 kilometres Sprint, Men",Valery Medvedtsev,95344,URS,Silver
1988,Winter,Biathlon,"20 kilometres, Men",Valery Medvedtsev,95344,URS,Silver
1988,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Valery Medvedtsev,95344,URS,Gold
1992,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Valery Medvedtsev,95344,EUN,Silver
1932,Winter,Bobsleigh (Bobsleigh),"Four, Men",Hans Mehlhorn,95350,GER,Bronze
1988,Winter,Bobsleigh (Bobsleigh),"Four, Men",Kurt Meier,95354,SUI,Gold
1994,Winter,Bobsleigh (Bobsleigh),"Four, Men",Kurt Meier,95354,SUI,Silver
1972,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Joachim Meischner,95361,GDR,Bronze
1964,Winter,Biathlon,"20 kilometres, Men",Vladimir Melanin,95364,URS,Gold
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Tom Mellor,95368,USA,Silver
1928,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Heini Meng,95379,SUI,Bronze
1976,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Karl-Heinz Menz,95384,GDR,Bronze
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dick Meredith,95390,USA,Silver
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dick Meredith,95390,USA,Gold
1968,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Heini Messner,95405,AUT,Bronze
1972,Winter,Alpine Skiing (Skiing),"Downhill, Men",Heini Messner,95405,AUT,Bronze
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Stephan Metz,95406,FRG,Bronze
1988,Winter,Speed Skating (Skating),"500 metres, Men",Uwe-Jens Mey,95409,GDR,Gold
1988,Winter,Speed Skating (Skating),"1,000 metres, Men",Uwe-Jens Mey,95409,GDR,Silver
1992,Winter,Speed Skating (Skating),"500 metres, Men",Uwe-Jens Mey,95409,GER,Gold
1952,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bob Meyers,95414,CAN,Gold
1976,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Juha Mieto,95428,FIN,Gold
1980,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men",Juha Mieto,95428,FIN,Silver
1980,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men",Juha Mieto,95428,FIN,Silver
1980,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Juha Mieto,95428,FIN,Bronze
1984,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Juha Mieto,95428,FIN,Bronze
1972,Winter,Nordic Combined (Skiing),"Individual, Men",Rauno Miettinen,95429,FIN,Silver
1992,Winter,Nordic Combined (Skiing),"Team, Men",Reiichi Mikata,95434,JPN,Gold
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Boris Mikhaylov,95435,URS,Gold
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Boris Mikhaylov,95435,URS,Gold
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Boris Mikhaylov,95435,URS,Silver
1956,Winter,Speed Skating (Skating),"1,500 metres, Men",Yury Mikhaylov,95436,URS,Gold
1988,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men",Pål Gunnar Mikkelsplass,95439,NOR,Silver
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Reijo Mikkolainen,95440,FIN,Silver
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Hans Mild,95447,SWE,Silver
1952,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",David Miller,95457,CAN,Gold
1976,Winter,Figure Skating (Skating),"Ice Dancing, Mixed","Jim Millns, Jr.",95464,USA,Bronze
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ray Milton,95470,CAN,Silver
1976,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Andrey Minenkov,95471,URS,Silver
1980,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Andrey Minenkov,95471,URS,Bronze
1998,Winter,Bobsleigh (Bobsleigh),"Four, Men",Bruno Mingeon,95472,FRA,Bronze
1932,Winter,Bobsleigh (Bobsleigh),"Two, Men",Bob Minton,95475,USA,Bronze
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dmitry Mironov,95478,EUN,Gold
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dmitry Mironov,95478,RUS,Silver
